brand,model,model_year,milage,fuel_type,engine,transmission,ext_col,int_col,accident,price,milage_in_kelos,car_age,value_index,car_type
Chevrolet,Suburban 1500 LT,2008,162750,Gasoline,320.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,Transmission Overdrive Switch,White,Black,At least 1 accident or damage reported,7200,162.75,16,423.52941176470586,old
Jaguar,XK R,2012,38383,Gasoline,510.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Black,None reported,36949,38.383,12,2842.230769230769,old
Porsche,911 Carrera GTS,2022,1837,Gasoline,3.0L H6 24V GDI DOHC Twin Turbo,8-Speed Automatic with Auto-Shift,Aventurine Green Metallic,Agave Green,None reported,179900,1.837,2,59966.666666666664,new
Audi,A4 2.0T Premium,2011,90818,Gasoline,211.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,White,Black,At least 1 accident or damage reported,8300,90.818,13,592.8571428571429,old
Cadillac,ATS 2.0L Turbo,2018,32000,Gasoline,272.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Gray,Black,None reported,22999,32.0,6,3285.5714285714284,new
Mercedes-Benz,G-Class G 63 AMG,2014,49899,Gasoline,536.0HP 5.5L 8 Cylinder Engine Gasoline Fuel,A/T,White,Black,None reported,72999,49.899,10,6636.272727272727,old
Jeep,Wrangler Sahara,2011,55000,Gasoline,202.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,4-Speed A/T,Red,Black,At least 1 accident or damage reported,35000,55.0,13,2500.0,old
BMW,M4 Base,2015,23700,Gasoline,425.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,None reported,42800,23.7,9,4280.0,old
Maserati,Ghibli S GranLusso,2020,12118,Gasoline,424.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Blue,Brown,None reported,52900,12.118,4,10580.0,new
Pontiac,Firebird Trans Am,2001,64000,Gasoline,310.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,Blue,Beige,None reported,21000,64.0,23,875.0,old
Ford,Expedition XLT,2022,22169,Gasoline,3.5L V6 24V PDI DOHC Twin Turbo,10-Speed Automatic,Black,Sandstone,None reported,57352,22.169,2,19117.333333333332,new
Ferrari,812 Superfast Base,2020,1575,Gasoline,788.0HP 6.5L 12 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Red,Black,None reported,469900,1.575,4,93980.0,new
Land,Rover Range Rover P400 SE SWB,2022,3369,Hybrid,395.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,A/T,White,Black,None reported,139500,3.369,2,46500.0,new
BMW,535 i xDrive,2011,135000,Gasoline,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Blue,Beige,None reported,9999,135.0,13,714.2142857142857,old
BMW,428 i xDrive,2015,125000,Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,White,Black,None reported,15000,125.0,9,1500.0,old
Cadillac,Escalade ESV Platinum,2017,134000,Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Gold,Brown,None reported,32999,134.0,7,4124.875,new
BMW,X5 xDrive35i,2014,143250,Gasoline,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,White,None reported,12999,143.25,10,1181.7272727272727,old
Lexus,GX 460 Premium,2017,82975,Gasoline,301.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,A/T,White,Beige,None reported,31000,82.975,7,3875.0,new
MINI,Countryman Cooper S ALL4,2016,91700,Gasoline,181.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,White,Black,None reported,13999,91.7,8,1555.4444444444443,new
Ford,F-150 XLT,2018,72393,Gasoline,325.0HP 2.7L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,Black,Black,None reported,35000,72.393,6,5000.0,new
INFINITI,QX60 Base,2016,71000,Gasoline,265.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,21500,71.0,8,2388.8888888888887,new
Lexus,RX 350 Base,2012,160900,Gasoline,270.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Silver,Gray,None reported,15000,160.9,12,1153.8461538461538,old
Dodge,Charger Scat Pack,2020,40208,Gasoline,485.0HP 6.4L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Red,Black,At least 1 accident or damage reported,38000,40.208,4,7600.0,new
Lexus,IS 350 Base,2017,77300,Gasoline,306.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Black,None reported,30000,77.3,7,3750.0,new
Nissan,NV200 SV,2017,16700,Gasoline,131.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,White,Black,None reported,26500,16.7,7,3312.5,new
Subaru,Impreza 2.0i Premium,2013,112000,Gasoline,148.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,CVT Transmission,Black,Beige,None reported,9999,112.0,11,833.25,old
BMW,M3 Base,2016,55250,Gasoline,425.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Blue,White,None reported,49999,55.25,8,5555.444444444444,new
INFINITI,QX80 Luxe,2020,69000,Gasoline,400.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,A/T,Gray,Black,None reported,31450,69.0,4,6290.0,new
Ford,Mustang GT Premium,2016,40570,Gasoline,435.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,Gray,Black,At least 1 accident or damage reported,30490,40.57,8,3387.777777777778,new
Toyota,RAV4 TRD Off Road,2020,46500,Gasoline,203.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Black,None reported,35200,46.5,4,7040.0,new
Honda,S2000 Base,2000,26900,Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,M/T,Silver,Red,None reported,35000,26.9,24,1400.0,old
Ford,Expedition Timberline,2022,30301,Gasoline,3.5L V6 24V PDI DOHC Twin Turbo,10-Speed Automatic,Dark Matter Metallic,Deep Cypress,None reported,68420,30.301,2,22806.666666666668,new
Toyota,Sequoia TRD Pro,2023,600,Hybrid,437.0HP 3.4L V6 Cylinder Engine Gas/Electric Hybrid,10-Speed A/T,Orange,Black,None reported,91995,0.6,1,45997.5,new
Plymouth,Prowler Base,2001,22300,Gasoline,253.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,4-Speed A/T,Blue,Gray,None reported,28500,22.3,23,1187.5,old
Alfa,Romeo Giulia Ti,2023,9275,Gasoline,2.0L I4 16V GDI SOHC Turbo,8-Speed Automatic,Alfa White,Black,None reported,43900,9.275,1,21950.0,new
Chevrolet,Suburban 1500 LS,2004,171750,E85 Flex Fuel,295.0HP 5.3L 8 Cylinder Engine Flex Fuel Capability,4-Speed A/T,White,Beige,At least 1 accident or damage reported,12998,171.75,20,618.952380952381,old
Mitsubishi,Lancer Evolution GSR,2013,76500,Gasoline,291.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,5-Speed M/T,Black,Black,None reported,28000,76.5,11,2333.3333333333335,old
Mercedes-Benz,AMG GLE 43 Coupe 4MATIC,2018,49000,Gasoline,385.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,9-Speed A/T,Blue,Brown,At least 1 accident or damage reported,42995,49.0,6,6142.142857142857,new
Audi,R8 5.2 quattro Spyder,2011,75000,Gasoline,525.0HP 5.2L 10 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Brown,At least 1 accident or damage reported,74000,75.0,13,5285.714285714285,old
Ford,Escape XLT,2007,133300,Gasoline,153.0HP 2.3L 4 Cylinder Engine Gasoline Fuel,4-Speed A/T,Silver,Silver,None reported,3000,133.3,17,166.66666666666666,old
BMW,X5 3.0si,2007,99700,Gasoline,260.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Black,None reported,8500,99.7,17,472.22222222222223,old
Chevrolet,Camaro 2LT,2011,126700,Gasoline,312.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Beige,At least 1 accident or damage reported,14000,126.7,13,1000.0,old
BMW,340 i,2016,28000,Gasoline,320.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,Red,None reported,36995,28.0,8,4110.555555555556,new
Mercedes-Benz,SL-Class SL 550,2012,21300,Gasoline,382.0HP 5.5L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,Silver,Red,At least 1 accident or damage reported,38500,21.3,12,2961.5384615384614,old
Cadillac,Escalade Platinum,2019,92000,Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,51900,92.0,5,8650.0,new
Lexus,RC F Base,2015,25756,Gasoline,467.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,None reported,49995,25.756,9,4999.5,old
Kia,Forte GT-Line,2021,24534,Gasoline,147.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,CVT Transmission,White,Black,None reported,21900,24.534,3,5475.0,new
Land,Rover Range Rover Sport Supercharged Dynamic,2018,58100,Gasoline,518.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Red,Black,None reported,53499,58.1,6,7642.714285714285,new
Nissan,Titan S,2017,20220,Gasoline,390.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,White,Gray,None reported,32324,20.22,7,4040.5,new
Honda,Accord EX-L 2.0T,2019,40069,Gasoline,252.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,White,Black,At least 1 accident or damage reported,27500,40.069,5,4583.333333333333,new
Subaru,WRX Base,2017,60930,Gasoline,268.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,Blue,Black,None reported,23750,60.93,7,2968.75,new
Audi,A4 2.0T Titanium Premium,2019,7300,Gasoline,188.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,7-Speed A/T,White,Gray,None reported,27900,7.3,5,4650.0,new
Chevrolet,Avalanche 1500 LS,2012,56000,E85 Flex Fuel,320.0HP 5.3L 8 Cylinder Engine Flex Fuel Capability,A/T,Red,Black,At least 1 accident or damage reported,18000,56.0,12,1384.6153846153845,old
Mercedes-Benz,CLA-Class CLA 250,2014,136000,Gasoline,208.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Black,At least 1 accident or damage reported,12000,136.0,10,1090.909090909091,old
BMW,228 Gran Coupe i xDrive,2020,31100,Gasoline,228.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,Blue,White,None reported,26999,31.1,4,5399.8,new
Maserati,GranTurismo Base,2012,12100,Gasoline,440.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Blue,Beige,None reported,37900,12.1,12,2915.3846153846152,old
Ford,Expedition Platinum,2021,51902,Gasoline,3.5L V6 24V PDI DOHC Twin Turbo,10-Speed Automatic,Red,Ceramic,None reported,57480,51.902,3,14370.0,new
Audi,S4 Base,2007,93000,Gasoline,340.0HP 4.2L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,Black,At least 1 accident or damage reported,10995,93.0,17,610.8333333333334,old
Land,Rover Range Rover Sport Supercharged HSE,2016,99915,Gasoline,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,Blue,White,At least 1 accident or damage reported,26500,99.915,8,2944.4444444444443,new
Chevrolet,Tahoe LTZ,2007,177000,E85 Flex Fuel,320.0HP 5.3L 8 Cylinder Engine Flex Fuel Capability,4-Speed A/T,Gold,Beige,At least 1 accident or damage reported,10750,177.0,17,597.2222222222222,old
Nissan,Xterra S,2008,100900,Gasoline,261.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Gray,None reported,6999,100.9,16,411.70588235294116,old
INFINITI,Q60 3.0T Premium,2017,107380,Gasoline,300.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Gray,At least 1 accident or damage reported,17500,107.38,7,2187.5,new
Ford,F-150 Raptor,2021,32957,Gasoline,3.5L V6 24V PDI DOHC Twin Turbo,10-Speed Automatic,Oxford White,Black,None reported,77900,32.957,3,19475.0,new
Acura,TLX Base,2016,45000,Gasoline,206.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,A/T,Gray,Blue,None reported,16500,45.0,8,1833.3333333333333,new
Nissan,Frontier SV,2013,67000,Gasoline,261.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,5-Speed A/T,Blue,Gray,None reported,15500,67.0,11,1291.6666666666667,old
Chevrolet,Camaro 1SS,2021,12600,Gasoline,455.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,Gray,Black,None reported,47000,12.6,3,11750.0,new
Porsche,Panamera 4,2018,24882,Gasoline,330.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Black,None reported,59800,24.882,6,8542.857142857143,new
Acura,TLX PMC Edition,2020,6900,Gasoline,290.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,9-Speed A/T,Red,Black,None reported,43500,6.9,4,8700.0,new
Kia,Sorento EX V6,2019,66075,Gasoline,3.3L V6 24V GDI DOHC,8-Speed Automatic,Titanium Silver,Satin Black,None reported,23754,66.075,5,3959.0,new
Hyundai,Palisade SEL,2021,68050,Gasoline,291.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,None reported,29600,68.05,3,7400.0,new
Ford,F-250 Lariat,2017,128000,Diesel,440.0HP 6.7L 8 Cylinder Engine Diesel Fuel,6-Speed A/T,Gray,Black,None reported,50000,128.0,7,6250.0,new
BMW,430 i,2021,9472,Gasoline,255.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,White,Blue,None reported,51000,9.472,3,12750.0,new
Mitsubishi,Lancer GTS,2009,185963,Gasoline,168.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,CVT Transmission,Orange,Gray,At least 1 accident or damage reported,5100,185.963,15,318.75,old
Nissan,NV200 S,2019,52000,Gasoline,131.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,CVT Transmission,Black,Gray,At least 1 accident or damage reported,19500,52.0,5,3250.0,new
Buick,Enclave Leather,2015,68653,Gasoline,288.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Blue,Black,At least 1 accident or damage reported,18950,68.653,9,1895.0,old
Lexus,RX 330 Base,2004,151896,Gasoline,230.0HP 3.3L V6 Cylinder Engine Gasoline Fuel,A/T,Silver,Gray,None reported,7900,151.896,20,376.1904761904762,old
Lexus,RX 450h F Sport,2019,43671,Hybrid,3.5L V6 24V PDI DOHC Hybrid,Automatic CVT,Caviar,Rioja Red,None reported,44950,43.671,5,7491.666666666667,new
GMC,Terrain SLE,2020,26470,Gasoline,1.5L I4 16V GDI DOHC Turbo,9-Speed Automatic,Summit White,Jet Black,None reported,29900,26.47,4,5980.0,new
Porsche,Macan Base,2018,82300,Gasoline,252.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Black,None reported,35000,82.3,6,5000.0,new
Lexus,RC 350 Base,2015,124000,Gasoline,306.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Blue,Blue,None reported,24000,124.0,9,2400.0,old
Audi,S4 3.0T Premium Plus,2020,23823,Gasoline,3.0L V6 24V GDI DOHC Turbo,8-Speed Automatic,Tango Red Metallic,Black,None reported,49995,23.823,4,9999.0,new
GMC,Yukon SLT,2002,222600,Gasoline,275.0HP 4.8L 8 Cylinder Engine Gasoline Fuel,4-Speed A/T,Gray,Beige,None reported,4999,222.6,22,217.34782608695653,old
Lamborghini,Urus Base,2021,9500,Gasoline,641.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,A/T,White,Black,None reported,279900,9.5,3,69975.0,new
INFINITI,QX60 Base,2014,154247,Gasoline,265.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Black,At least 1 accident or damage reported,12500,154.247,10,1136.3636363636363,old
Chevrolet,Silverado 2500 LTZ H/D Extended Cab,2008,128000,Gasoline,353.0HP 6.0L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Beige,Black,None reported,23500,128.0,16,1382.3529411764705,old
Maserati,GranTurismo Base,2008,70000,Gasoline,405.0HP 4.2L 8 Cylinder Engine Gasoline Fuel,A/T,Blue,Brown,At least 1 accident or damage reported,13000,70.0,16,764.7058823529412,old
BMW,X6 M Base,2016,52375,Gasoline,567.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Brown,At least 1 accident or damage reported,48600,52.375,8,5400.0,new
Chrysler,300 S,2016,100574,Gasoline,300.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,At least 1 accident or damage reported,17500,100.574,8,1944.4444444444443,new
Acura,RDX w/A-Spec Package,2023,3959,Gasoline,2.0 Liter DOHC Turbo,Automatic,White,Black,None reported,48998,3.959,1,24499.0,new
Chevrolet,Corvette Stingray w/1LT,2021,10400,Gasoline,490.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Silver,Black,None reported,72900,10.4,3,18225.0,new
Chevrolet,Camaro 1SS,2019,19200,Gasoline,455.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,Orange,Black,None reported,41500,19.2,5,6916.666666666667,new
Mercedes-Benz,E-Class E 350 4MATIC,2013,81000,Gasoline,302.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Gray,Beige,At least 1 accident or damage reported,13000,81.0,11,1083.3333333333333,old
Ford,F-150 Raptor,2022,17451,Gasoline,3.5L V6 24V PDI DOHC Twin Turbo,10-Speed Automatic,Oxford White,Rhapsody Blue,None reported,77900,17.451,2,25966.666666666668,new
BMW,M3 CS,2024,124,Gasoline,543.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Green,Black,None reported,145000,0.124,0,145000.0,new
Hyundai,Accent GLS,2013,117500,Gasoline,138.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,Silver,Gray,At least 1 accident or damage reported,6500,117.5,11,541.6666666666666,old
Mercedes-Benz,S-Class S 450 4MATIC,2018,72500,Gasoline,362.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,60000,72.5,6,8571.42857142857,new
Porsche,911 GT3,2023,265,Gasoline,4.0L H6 24V GDI DOHC,6-Speed Manual,Black,Gray,None reported,279950,0.265,1,139975.0,new
Mercedes-Benz,AMG GT 63 S 4-Door,2020,21214,Gasoline,4.0L V8 32V GDI DOHC Twin Turbo,9-Speed Automatic,Obsidian Black Metallic,Black,None reported,117900,21.214,4,23580.0,new
Audi,Q5 3.0 TDI Premium Plus,2014,55564,Diesel,240.0HP 3.0L V6 Cylinder Engine Diesel Fuel,8-Speed A/T,Black,Black,At least 1 accident or damage reported,22500,55.564,10,2045.4545454545455,old
Volvo,XC60 T5 R-Design,2019,43500,Gasoline,250.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Black,None reported,30000,43.5,5,5000.0,new
Mercedes-Benz,AMG GT 53 Base,2019,35000,Hybrid,429.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,Transmission w/Dual Shift Mode,Black,Black,None reported,83000,35.0,5,13833.333333333334,new
GMC,Yukon SLT,2017,92031,Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,A/T,White,Beige,At least 1 accident or damage reported,30000,92.031,7,3750.0,new
Lexus,GS 350 Base,2016,128032,Gasoline,311.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Silver,Black,None reported,18000,128.032,8,2000.0,new
Jaguar,XF 25t Premium,2018,18800,Gasoline,247.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,White,None reported,26000,18.8,6,3714.285714285714,new
BMW,M8 Gran Coupe Competition,2023,2900,Gasoline,617.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Green,Gray,None reported,117500,2.9,1,58750.0,new
Honda,Ridgeline Black Edition,2017,91600,Gasoline,280.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Black,None reported,26000,91.6,7,3250.0,new
Toyota,4Runner SR5,2019,91843,Gasoline,270.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,5-Speed A/T,Blue,Black,At least 1 accident or damage reported,30500,91.843,5,5083.333333333333,new
Dodge,Charger R/T 392,2017,73350,Gasoline,485.0HP 6.4L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Gray,Red,None reported,37000,73.35,7,4625.0,new
Mercedes-Benz,GLC 300 GLC 300,2022,11875,Gasoline,2.0 Liter Turbo,Automatic,Black,Black,None reported,41598,11.875,2,13866.0,new
INFINITI,Q50 3.0t Signature Edition,2017,67000,Gasoline,300.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,None reported,23000,67.0,7,2875.0,new
BMW,340 i,2016,117660,Gasoline,320.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Black,At least 1 accident or damage reported,19500,117.66,8,2166.6666666666665,new
Pontiac,Firebird Trans Am,2001,71448,Gasoline,200.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,4-Speed A/T,Gray,Black,None reported,10500,71.448,23,437.5,old
Nissan,NV Passenger NV3500 HD SV V8,2015,86000,Gasoline,317.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,A/T,Silver,Gray,None reported,29500,86.0,9,2950.0,old
Lexus,ES 350 Base,2020,15324,Gasoline,3.5L V6 24V PDI DOHC,8-Speed Automatic,Black,Black,At least 1 accident or damage reported,33364,15.324,4,6672.8,new
BMW,135 is,2013,29400,Gasoline,320.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,White,Beige,None reported,29000,29.4,11,2416.6666666666665,old
Lexus,IS 300 Base,2017,68871,Gasoline,255.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Silver,Red,None reported,28450,68.871,7,3556.25,new
Porsche,Cayenne S,2012,126000,Gasoline,400.0HP 4.8L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Silver,Gray,None reported,17999,126.0,12,1384.5384615384614,old
Pontiac,Solstice GXP,2007,25718,Gasoline,260.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,M/T,Yellow,Black,None reported,17900,25.718,17,994.4444444444445,old
Porsche,Panamera Turbo,2015,67210,Gasoline,520.0HP 4.8L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Blue,Beige,At least 1 accident or damage reported,51950,67.21,9,5195.0,old
BMW,X6 xDrive35i,2018,27214,Gasoline,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,At least 1 accident or damage reported,40950,27.214,6,5850.0,new
Ford,F-150 Limited,2019,42728,Gasoline,450.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Brown,None reported,45950,42.728,5,7658.333333333333,new
MINI,Cooper S Base,2010,97395,Gasoline,172.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,Yellow,Black,None reported,6699,97.395,14,446.6,old
Mazda,Mazda3 i SV,2015,91700,Gasoline,155.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Red,Black,None reported,12000,91.7,9,1200.0,old
Mitsubishi,Lancer Evolution MR,2011,94500,Gasoline,291.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Black,None reported,27000,94.5,13,1928.5714285714287,old
Chevrolet,Tahoe LTZ,2014,196300,E85 Flex Fuel,320.0HP 5.3L 8 Cylinder Engine Flex Fuel Capability,6-Speed A/T,Black,Black,None reported,10995,196.3,10,999.5454545454545,old
Cadillac,CTS 3.6L Luxury,2015,54259,Gasoline,3.6L V6 24V GDI DOHC,8-Speed Automatic,Majestic Plum Metallic,Light Platinum / Jet Black,None reported,19425,54.259,9,1942.5,old
Acura,RDX w/Advance Package,2021,36267,Gasoline,2.0 Liter Turbo,Automatic,White,Parchment,None reported,39798,36.267,3,9949.5,new
Land,Rover Range Rover Sport Supercharged HSE,2015,175000,Gasoline,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,19500,175.0,9,1950.0,old
Chevrolet,Suburban 1500 LTZ,2015,159000,Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Beige,At least 1 accident or damage reported,26900,159.0,9,2690.0,old
Chevrolet,Camaro 2SS,2016,74000,Gasoline,455.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,None reported,32000,74.0,8,3555.5555555555557,new
Chevrolet,Silverado 1500 Hybrid 1HY,2011,82963,Hybrid,332.0HP 6.0L 8 Cylinder Engine Gas/Electric Hybrid,4-Speed A/T,White,Black,None reported,20995,82.963,13,1499.642857142857,old
Cadillac,XT5 Luxury,2019,54323,Gasoline,3.6 Liter DOHC,Automatic,Red,Beige,None reported,27998,54.323,5,4666.333333333333,new
Nissan,Armada SL,2019,59980,Gasoline,390.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,Silver,Black,None reported,29000,59.98,5,4833.333333333333,new
Audi,Q5 S line Premium,2022,10120,Hybrid,2.0 Liter TFSI,Automatic,Navarre Blue,Gray,None reported,39998,10.12,2,13332.666666666666,new
BMW,X6 M Base,2017,25000,Gasoline,567.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Red,At least 1 accident or damage reported,65000,25.0,7,8125.0,new
BMW,740 i,2012,126000,Gasoline,326.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,A/T,Black,Black,At least 1 accident or damage reported,12700,126.0,12,976.9230769230769,old
Toyota,Sequoia TRD Pro,2020,37428,Gasoline,381.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Black,None reported,61599,37.428,4,12319.8,new
Volkswagen,Jetta GLI,2014,99499,Gasoline,210.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,At least 1 accident or damage reported,15000,99.499,10,1363.6363636363637,old
Honda,Crosstour EX-L,2012,90742,Gasoline,192.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,A/T,Gray,Gray,None reported,12980,90.742,12,998.4615384615385,old
Land,Rover Range Rover Sport Supercharged,2014,125000,E85 Flex Fuel,510.0HP 5.0L 8 Cylinder Engine Flex Fuel Capability,8-Speed A/T,White,Brown,At least 1 accident or damage reported,22500,125.0,10,2045.4545454545455,old
Hyundai,Santa Fe Sport 2.0L Turbo Ultimate,2018,71669,Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Blue,Black,None reported,20000,71.669,6,2857.1428571428573,new
Cadillac,XT5 Luxury,2019,44692,Gasoline,3.6L V6 24V GDI DOHC,8-Speed Automatic,Bronze Dune Metallic,Shara Beige,None reported,32368,44.692,5,5394.666666666667,new
Jaguar,F-TYPE R,2018,16002,Gasoline,550.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Red,None reported,74900,16.002,6,10700.0,new
